time;model_id;model_name;port_name;data
0;1;transducer;;{0,0,0}
0;2;generator;;0
0;4;server2;;inf
0;5;server1;;inf
0;6;server3;;inf
0;7;loadBalancer;;inf
0;1;transducer;;{0,1,0}
0;2;generator;outGenerated;{0,0,-1, Priority: 3}
0;2;generator;;1
0;7;loadBalancer;;0.1
0.1;5;server1;;1.31456
0.1;7;loadBalancer;out1;{0,0,0}
0.1;7;loadBalancer;;inf
1.41456;1;transducer;;{1.31456,1,1}
1.41456;5;server1;outProcessed;{0,0,1.31456}
1.41456;5;server1;;inf
5;1;transducer;;{1.31456,2,1}
5;2;generator;outGenerated;{1,10,-1, Priority: 1}
5;2;generator;;2
5;7;loadBalancer;;0.1
5.1;4;server2;;1.34883
5.1;7;loadBalancer;out2;{1,10,10}
5.1;7;loadBalancer;;inf
6.44883;1;transducer;;{2.66339,2,2}
6.44883;4;server2;outProcessed;{1,10,11.3488}
6.44883;4;server2;;inf
10;1;transducer;;{2.66339,3,2}
10;2;generator;outGenerated;{2,15,-1, Priority: 3}
10;2;generator;;3
10;7;loadBalancer;;0.1
10.1;6;server3;;3.77617
10.1;7;loadBalancer;out3;{2,15,15}
10.1;7;loadBalancer;;inf
13.8762;1;transducer;;{6.43956,3,3}
13.8762;6;server3;outProcessed;{2,15,18.7762}
13.8762;6;server3;;inf
15;1;transducer;;{6.43956,4,3}
15;2;generator;outGenerated;{3,20,-1, Priority: 3}
15;2;generator;;4
15;7;loadBalancer;;0.1
15.1;5;server1;;8.51273
15.1;7;loadBalancer;out1;{3,20,20}
15.1;7;loadBalancer;;inf
20;1;transducer;;{6.43956,5,3}
20;2;generator;outGenerated;{4,25,-1, Priority: 5}
20;2;generator;;5
20;7;loadBalancer;;0.1
20.1;4;server2;;2.46537
20.1;7;loadBalancer;out2;{4,25,25}
20.1;7;loadBalancer;;inf
22.5654;1;transducer;;{8.90493,5,4}
22.5654;4;server2;outProcessed;{4,25,27.4654}
22.5654;4;server2;;inf
23.6127;1;transducer;;{17.4177,5,5}
23.6127;5;server1;outProcessed;{3,20,28.5127}
23.6127;5;server1;;inf
25;1;transducer;;{17.4177,6,5}
25;2;generator;outGenerated;{5,30,-1, Priority: 3}
25;2;generator;;6
25;7;loadBalancer;;0.1
25.1;6;server3;;1.85812
25.1;7;loadBalancer;out3;{5,30,30}
25.1;7;loadBalancer;;inf
26.9581;1;transducer;;{19.2758,6,6}
26.9581;6;server3;outProcessed;{5,30,31.8581}
26.9581;6;server3;;inf
30;1;transducer;;{19.2758,7,6}
30;2;generator;outGenerated;{6,35,-1, Priority: 5}
30;2;generator;;7
30;7;loadBalancer;;0.1
30.1;5;server1;;0.580275
30.1;7;loadBalancer;out1;{6,35,35}
30.1;7;loadBalancer;;inf
30.6803;1;transducer;;{19.8561,7,7}
30.6803;5;server1;outProcessed;{6,35,35.5803}
30.6803;5;server1;;inf
35;1;transducer;;{19.8561,8,7}
35;2;generator;outGenerated;{7,40,-1, Priority: 3}
35;2;generator;;8
35;7;loadBalancer;;0.1
35.1;4;server2;;1.02057
35.1;7;loadBalancer;out2;{7,40,40}
35.1;7;loadBalancer;;inf
36.1206;1;transducer;;{20.8766,8,8}
36.1206;4;server2;outProcessed;{7,40,41.0206}
36.1206;4;server2;;inf
40;1;transducer;;{20.8766,9,8}
40;2;generator;outGenerated;{8,45,-1, Priority: 5}
40;2;generator;;9
40;7;loadBalancer;;0.1
40.1;6;server3;;2.07333
40.1;7;loadBalancer;out3;{8,45,45}
40.1;7;loadBalancer;;inf
42.1733;1;transducer;;{22.95,9,9}
42.1733;6;server3;outProcessed;{8,45,47.0733}
42.1733;6;server3;;inf
45;1;transducer;;{22.95,10,9}
45;2;generator;outGenerated;{9,50,-1, Priority: 3}
45;2;generator;;10
45;7;loadBalancer;;0.1
45.1;5;server1;;0.342082
45.1;7;loadBalancer;out1;{9,50,50}
45.1;7;loadBalancer;;inf
45.4421;1;transducer;;{23.292,10,10}
45.4421;5;server1;outProcessed;{9,50,50.3421}
45.4421;5;server1;;inf
50;1;transducer;;{23.292,11,10}
50;2;generator;outGenerated;{10,55,-1, Priority: 5}
50;2;generator;;11
50;7;loadBalancer;;0.1
50.1;4;server2;;0.375664
50.1;7;loadBalancer;out2;{10,55,55}
50.1;7;loadBalancer;;inf
50.4757;1;transducer;;{23.6677,11,11}
50.4757;4;server2;outProcessed;{10,55,55.3757}
50.4757;4;server2;;inf
55;1;transducer;;{23.6677,12,11}
55;2;generator;outGenerated;{11,60,-1, Priority: 3}
55;2;generator;;12
55;7;loadBalancer;;0.1
55.1;6;server3;;0.935759
55.1;7;loadBalancer;out3;{11,60,60}
55.1;7;loadBalancer;;inf
56.0358;1;transducer;;{24.6035,12,12}
56.0358;6;server3;outProcessed;{11,60,60.9358}
56.0358;6;server3;;inf
60;1;transducer;;{24.6035,13,12}
60;2;generator;outGenerated;{12,65,-1, Priority: 5}
60;2;generator;;13
60;7;loadBalancer;;0.1
60.1;5;server1;;2.0591
60.1;7;loadBalancer;out1;{12,65,65}
60.1;7;loadBalancer;;inf
62.1591;1;transducer;;{26.6626,13,13}
62.1591;5;server1;outProcessed;{12,65,67.0591}
62.1591;5;server1;;inf
65;1;transducer;;{26.6626,14,13}
65;2;generator;outGenerated;{13,70,-1, Priority: 1}
65;2;generator;;14
65;7;loadBalancer;;0.1
65.1;4;server2;;3.65849
65.1;7;loadBalancer;out2;{13,70,70}
65.1;7;loadBalancer;;inf
68.7585;1;transducer;;{30.3211,14,14}
68.7585;4;server2;outProcessed;{13,70,73.6585}
68.7585;4;server2;;inf
70;1;transducer;;{30.3211,15,14}
70;2;generator;outGenerated;{14,75,-1, Priority: 5}
70;2;generator;;15
70;7;loadBalancer;;0.1
70.1;6;server3;;0.83284
70.1;7;loadBalancer;out3;{14,75,75}
70.1;7;loadBalancer;;inf
70.9328;1;transducer;;{31.1539,15,15}
70.9328;6;server3;outProcessed;{14,75,75.8328}
70.9328;6;server3;;inf
75;1;transducer;;{31.1539,16,15}
75;2;generator;outGenerated;{15,80,-1, Priority: 3}
75;2;generator;;16
75;7;loadBalancer;;0.1
75.1;5;server1;;0.797526
75.1;7;loadBalancer;out1;{15,80,80}
75.1;7;loadBalancer;;inf
75.8975;1;transducer;;{31.9514,16,16}
75.8975;5;server1;outProcessed;{15,80,80.7975}
75.8975;5;server1;;inf
80;1;transducer;;{31.9514,17,16}
80;2;generator;outGenerated;{16,85,-1, Priority: 5}
80;2;generator;;17
80;7;loadBalancer;;0.1
80.1;4;server2;;2.97308
80.1;7;loadBalancer;out2;{16,85,85}
80.1;7;loadBalancer;;inf
83.0731;1;transducer;;{34.9245,17,17}
83.0731;4;server2;outProcessed;{16,85,87.9731}
83.0731;4;server2;;inf
85;1;transducer;;{34.9245,18,17}
85;2;generator;outGenerated;{17,90,-1, Priority: 1}
85;2;generator;;18
85;7;loadBalancer;;0.1
85.1;6;server3;;0.919825
85.1;7;loadBalancer;out3;{17,90,90}
85.1;7;loadBalancer;;inf
86.0198;1;transducer;;{35.8443,18,18}
86.0198;6;server3;outProcessed;{17,90,90.9198}
86.0198;6;server3;;inf
90;1;transducer;;{35.8443,19,18}
90;2;generator;outGenerated;{18,95,-1, Priority: 5}
90;2;generator;;19
90;7;loadBalancer;;0.1
90.1;5;server1;;11.8313
90.1;7;loadBalancer;out1;{18,95,95}
90.1;7;loadBalancer;;inf
95;1;transducer;;{35.8443,20,18}
95;2;generator;outGenerated;{19,100,-1, Priority: 5}
95;2;generator;;20
95;7;loadBalancer;;0.1
95.1;4;server2;;1.46187
95.1;7;loadBalancer;out2;{19,100,100}
95.1;7;loadBalancer;;inf
96.5619;1;transducer;;{37.3062,20,19}
96.5619;4;server2;outProcessed;{19,100,101.462}
96.5619;4;server2;;inf
100;1;transducer;;{37.3062,21,19}
100;2;generator;outGenerated;{20,105,-1, Priority: 1}
100;2;generator;;21
100;7;loadBalancer;;0.1
100.1;6;server3;;1.1144
100.1;7;loadBalancer;out3;{20,105,105}
100.1;7;loadBalancer;;inf
101.214;1;transducer;;{38.4206,21,20}
101.214;6;server3;outProcessed;{20,105,106.114}
101.214;6;server3;;inf
101.931;1;transducer;;{50.2519,21,21}
101.931;5;server1;outProcessed;{18,95,106.831}
101.931;5;server1;;inf
105;1;transducer;;{50.2519,22,21}
105;2;generator;outGenerated;{21,110,-1, Priority: 2}
105;2;generator;;22
105;7;loadBalancer;;0.1
105.1;5;server1;;2.47846
105.1;7;loadBalancer;out1;{21,110,110}
105.1;7;loadBalancer;;inf
107.578;1;transducer;;{52.7304,22,22}
107.578;5;server1;outProcessed;{21,110,112.478}
107.578;5;server1;;inf
110;1;transducer;;{52.7304,23,22}
110;2;generator;outGenerated;{22,115,-1, Priority: 3}
110;2;generator;;23
110;7;loadBalancer;;0.1
110.1;4;server2;;0.789862
110.1;7;loadBalancer;out2;{22,115,115}
110.1;7;loadBalancer;;inf
110.89;1;transducer;;{53.5203,23,23}
110.89;4;server2;outProcessed;{22,115,115.79}
110.89;4;server2;;inf
115;1;transducer;;{53.5203,24,23}
115;2;generator;outGenerated;{23,120,-1, Priority: 3}
115;2;generator;;24
115;7;loadBalancer;;0.1
115.1;6;server3;;0.805114
115.1;7;loadBalancer;out3;{23,120,120}
115.1;7;loadBalancer;;inf
115.905;1;transducer;;{54.3254,24,24}
115.905;6;server3;outProcessed;{23,120,120.805}
115.905;6;server3;;inf
120;1;transducer;;{54.3254,25,24}
120;2;generator;outGenerated;{24,125,-1, Priority: 4}
120;2;generator;;25
120;7;loadBalancer;;0.1
120.1;5;server1;;3.30663
120.1;7;loadBalancer;out1;{24,125,125}
120.1;7;loadBalancer;;inf
123.407;1;transducer;;{57.632,25,25}
123.407;5;server1;outProcessed;{24,125,128.307}
123.407;5;server1;;inf
125;1;transducer;;{57.632,26,25}
125;2;generator;outGenerated;{25,130,-1, Priority: 4}
125;2;generator;;26
125;7;loadBalancer;;0.1
125.1;4;server2;;4.39512
125.1;7;loadBalancer;out2;{25,130,130}
125.1;7;loadBalancer;;inf
129.495;1;transducer;;{62.0271,26,26}
129.495;4;server2;outProcessed;{25,130,134.395}
