time;model_id;model_name;port_name;data
0;1;transducer;;{0,0,0}
0;2;generator;;0
0;4;server2;;inf
0;5;server1;;inf
0;6;server3;;inf
0;7;loadBalancer;;inf
0;1;transducer;;{0,1,0}
0;2;generator;outGenerated;{0,0,-1, Priority: 5}
0;2;generator;;1
0;7;loadBalancer;;0.1
0.1;5;server1;;1.53137
0.1;7;loadBalancer;out1;{0,0,0}
0.1;7;loadBalancer;;inf
1.63137;1;transducer;;{1.53137,1,1}
1.63137;5;server1;outProcessed;{0,0,1.53137}
1.63137;5;server1;;inf
10;1;transducer;;{1.53137,2,1}
10;2;generator;outGenerated;{1,20,-1, Priority: 4}
10;2;generator;;2
10;7;loadBalancer;;0.1
10.1;4;server2;;2.52678
10.1;7;loadBalancer;out2;{1,20,20}
10.1;7;loadBalancer;;inf
12.6268;1;transducer;;{4.05815,2,2}
12.6268;4;server2;outProcessed;{1,20,22.5268}
12.6268;4;server2;;inf
20;1;transducer;;{4.05815,3,2}
20;2;generator;outGenerated;{2,30,-1, Priority: 2}
20;2;generator;;3
20;7;loadBalancer;;0.1
20.1;6;server3;;2.85
20.1;7;loadBalancer;out3;{2,30,30}
20.1;7;loadBalancer;;inf
22.95;1;transducer;;{6.90815,3,3}
22.95;6;server3;outProcessed;{2,30,32.85}
22.95;6;server3;;inf
30;1;transducer;;{6.90815,4,3}
30;2;generator;outGenerated;{3,40,-1, Priority: 2}
30;2;generator;;4
30;7;loadBalancer;;0.1
30.1;5;server1;;0.0900475
30.1;7;loadBalancer;out1;{3,40,40}
30.1;7;loadBalancer;;inf
30.19;1;transducer;;{6.9982,4,4}
30.19;5;server1;outProcessed;{3,40,40.09}
30.19;5;server1;;inf
40;1;transducer;;{6.9982,5,4}
40;2;generator;outGenerated;{4,50,-1, Priority: 4}
40;2;generator;;5
40;7;loadBalancer;;0.1
40.1;4;server2;;0.520562
40.1;7;loadBalancer;out2;{4,50,50}
40.1;7;loadBalancer;;inf
40.6206;1;transducer;;{7.51876,5,5}
40.6206;4;server2;outProcessed;{4,50,50.5206}
40.6206;4;server2;;inf
50;1;transducer;;{7.51876,6,5}
50;2;generator;outGenerated;{5,60,-1, Priority: 1}
50;2;generator;;6
50;7;loadBalancer;;0.1
50.1;6;server3;;0.564906
50.1;7;loadBalancer;out3;{5,60,60}
50.1;7;loadBalancer;;inf
50.6649;1;transducer;;{8.08367,6,6}
50.6649;6;server3;outProcessed;{5,60,60.5649}
50.6649;6;server3;;inf
60;1;transducer;;{8.08367,7,6}
60;2;generator;outGenerated;{6,70,-1, Priority: 5}
60;2;generator;;7
60;7;loadBalancer;;0.1
60.1;5;server1;;0.112978
60.1;7;loadBalancer;out1;{6,70,70}
60.1;7;loadBalancer;;inf
60.213;1;transducer;;{8.19665,7,7}
60.213;5;server1;outProcessed;{6,70,70.113}
60.213;5;server1;;inf
70;1;transducer;;{8.19665,8,7}
70;2;generator;outGenerated;{7,80,-1, Priority: 1}
70;2;generator;;8
70;7;loadBalancer;;0.1
70.1;4;server2;;0.196369
70.1;7;loadBalancer;out2;{7,80,80}
70.1;7;loadBalancer;;inf
70.2964;1;transducer;;{8.39302,8,8}
70.2964;4;server2;outProcessed;{7,80,80.1964}
70.2964;4;server2;;inf
80;1;transducer;;{8.39302,9,8}
80;2;generator;outGenerated;{8,90,-1, Priority: 3}
80;2;generator;;9
80;7;loadBalancer;;0.1
80.1;6;server3;;2.95871
80.1;7;loadBalancer;out3;{8,90,90}
80.1;7;loadBalancer;;inf
83.0587;1;transducer;;{11.3517,9,9}
83.0587;6;server3;outProcessed;{8,90,92.9587}
83.0587;6;server3;;inf
90;1;transducer;;{11.3517,10,9}
90;2;generator;outGenerated;{9,100,-1, Priority: 3}
90;2;generator;;10
90;7;loadBalancer;;0.1
90.1;5;server1;;1.51859
90.1;7;loadBalancer;out1;{9,100,100}
90.1;7;loadBalancer;;inf
91.6186;1;transducer;;{12.8703,10,10}
91.6186;5;server1;outProcessed;{9,100,101.519}
91.6186;5;server1;;inf
100;1;transducer;;{12.8703,11,10}
100;2;generator;outGenerated;{10,110,-1, Priority: 3}
100;2;generator;;11
100;7;loadBalancer;;0.1
100.1;4;server2;;4.60169
100.1;7;loadBalancer;out2;{10,110,110}
100.1;7;loadBalancer;;inf
104.702;1;transducer;;{17.472,11,11}
104.702;4;server2;outProcessed;{10,110,114.602}
104.702;4;server2;;inf
110;1;transducer;;{17.472,12,11}
110;2;generator;outGenerated;{11,120,-1, Priority: 1}
110;2;generator;;12
110;7;loadBalancer;;0.1
110.1;6;server3;;2.97345
110.1;7;loadBalancer;out3;{11,120,120}
110.1;7;loadBalancer;;inf
113.073;1;transducer;;{20.4454,12,12}
113.073;6;server3;outProcessed;{11,120,122.973}
113.073;6;server3;;inf
120;1;transducer;;{20.4454,13,12}
120;2;generator;outGenerated;{12,130,-1, Priority: 4}
120;2;generator;;13
120;7;loadBalancer;;0.1
120.1;5;server1;;0.21079
120.1;7;loadBalancer;out1;{12,130,130}
120.1;7;loadBalancer;;inf
120.311;1;transducer;;{20.6562,13,13}
120.311;5;server1;outProcessed;{12,130,130.211}
120.311;5;server1;;inf
130;1;transducer;;{20.6562,14,13}
130;2;generator;outGenerated;{13,140,-1, Priority: 5}
130;2;generator;;14
130;7;loadBalancer;;0.1
130.1;4;server2;;1.85131
130.1;7;loadBalancer;out2;{13,140,140}
130.1;7;loadBalancer;;inf
131.951;1;transducer;;{22.5075,14,14}
131.951;4;server2;outProcessed;{13,140,141.851}
131.951;4;server2;;inf
140;1;transducer;;{22.5075,15,14}
140;2;generator;outGenerated;{14,150,-1, Priority: 1}
140;2;generator;;15
140;7;loadBalancer;;0.1
140.1;6;server3;;1.89255
140.1;7;loadBalancer;out3;{14,150,150}
140.1;7;loadBalancer;;inf
141.993;1;transducer;;{24.4001,15,15}
141.993;6;server3;outProcessed;{14,150,151.893}
141.993;6;server3;;inf
150;1;transducer;;{24.4001,16,15}
150;2;generator;outGenerated;{15,160,-1, Priority: 5}
150;2;generator;;16
150;7;loadBalancer;;0.1
150.1;5;server1;;0.473299
150.1;7;loadBalancer;out1;{15,160,160}
150.1;7;loadBalancer;;inf
150.573;1;transducer;;{24.8734,16,16}
150.573;5;server1;outProcessed;{15,160,160.473}
150.573;5;server1;;inf
160;1;transducer;;{24.8734,17,16}
160;2;generator;outGenerated;{16,170,-1, Priority: 3}
160;2;generator;;17
160;7;loadBalancer;;0.1
160.1;4;server2;;2.21221
160.1;7;loadBalancer;out2;{16,170,170}
160.1;7;loadBalancer;;inf
162.312;1;transducer;;{27.0856,17,17}
162.312;4;server2;outProcessed;{16,170,172.212}
162.312;4;server2;;inf
170;1;transducer;;{27.0856,18,17}
170;2;generator;outGenerated;{17,180,-1, Priority: 3}
170;2;generator;;18
170;7;loadBalancer;;0.1
170.1;6;server3;;4.26318
170.1;7;loadBalancer;out3;{17,180,180}
170.1;7;loadBalancer;;inf
174.363;1;transducer;;{31.3488,18,18}
174.363;6;server3;outProcessed;{17,180,184.263}
174.363;6;server3;;inf
180;1;transducer;;{31.3488,19,18}
180;2;generator;outGenerated;{18,190,-1, Priority: 2}
180;2;generator;;19
180;7;loadBalancer;;0.1
180.1;5;server1;;0.42868
180.1;7;loadBalancer;out1;{18,190,190}
180.1;7;loadBalancer;;inf
180.529;1;transducer;;{31.7775,19,19}
180.529;5;server1;outProcessed;{18,190,190.429}
180.529;5;server1;;inf
190;1;transducer;;{31.7775,20,19}
190;2;generator;outGenerated;{19,200,-1, Priority: 2}
190;2;generator;;20
190;7;loadBalancer;;0.1
190.1;4;server2;;0.311137
190.1;7;loadBalancer;out2;{19,200,200}
190.1;7;loadBalancer;;inf
190.411;1;transducer;;{32.0886,20,20}
190.411;4;server2;outProcessed;{19,200,200.311}
190.411;4;server2;;inf
200;1;transducer;;{32.0886,21,20}
200;2;generator;outGenerated;{20,210,-1, Priority: 1}
200;2;generator;;21
200;7;loadBalancer;;0.1
200.1;6;server3;;2.97553
200.1;7;loadBalancer;out3;{20,210,210}
200.1;7;loadBalancer;;inf
203.076;1;transducer;;{35.0641,21,21}
203.076;6;server3;outProcessed;{20,210,212.976}
203.076;6;server3;;inf
210;1;transducer;;{35.0641,22,21}
210;2;generator;outGenerated;{21,220,-1, Priority: 1}
210;2;generator;;22
210;7;loadBalancer;;0.1
210.1;5;server1;;4.84242
210.1;7;loadBalancer;out1;{21,220,220}
210.1;7;loadBalancer;;inf
214.942;1;transducer;;{39.9066,22,22}
214.942;5;server1;outProcessed;{21,220,224.842}
214.942;5;server1;;inf
220;1;transducer;;{39.9066,23,22}
220;2;generator;outGenerated;{22,230,-1, Priority: 2}
220;2;generator;;23
220;7;loadBalancer;;0.1
220.1;4;server2;;0.255598
220.1;7;loadBalancer;out2;{22,230,230}
220.1;7;loadBalancer;;inf
220.356;1;transducer;;{40.1622,23,23}
220.356;4;server2;outProcessed;{22,230,230.256}
220.356;4;server2;;inf
230;1;transducer;;{40.1622,24,23}
230;2;generator;outGenerated;{23,240,-1, Priority: 4}
230;2;generator;;24
230;7;loadBalancer;;0.1
230.1;6;server3;;1.1238
230.1;7;loadBalancer;out3;{23,240,240}
230.1;7;loadBalancer;;inf
231.224;1;transducer;;{41.286,24,24}
231.224;6;server3;outProcessed;{23,240,241.124}
231.224;6;server3;;inf
240;1;transducer;;{41.286,25,24}
240;2;generator;outGenerated;{24,250,-1, Priority: 4}
240;2;generator;;25
240;7;loadBalancer;;0.1
240.1;5;server1;;0.157727
240.1;7;loadBalancer;out1;{24,250,250}
240.1;7;loadBalancer;;inf
240.258;1;transducer;;{41.4437,25,25}
240.258;5;server1;outProcessed;{24,250,250.158}
240.258;5;server1;;inf
250;1;transducer;;{41.4437,26,25}
250;2;generator;outGenerated;{25,260,-1, Priority: 5}
250;2;generator;;26
250;7;loadBalancer;;0.1
250.1;4;server2;;9.58906
250.1;7;loadBalancer;out2;{25,260,260}
250.1;7;loadBalancer;;inf
259.689;1;transducer;;{51.0327,26,26}
259.689;4;server2;outProcessed;{25,260,269.589}
259.689;4;server2;;inf
260;1;transducer;;{51.0327,27,26}
